,Player,Team,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,SD Hope,WI,2024-2024,3,3,1,107,82*,53.50,57,187.71,-,1,1,4,10
1,B McMullen,SCOT,2024-2024,4,3,1,140,61*,70.00,82,170.73,-,2,-,13,8
2,AD Russell,WI,2024-2024,7,6,3,78,30*,26.00,47,165.95,-,-,-,8,4
3,MP Stoinis,AUS,2024-2024,7,5,1,169,67*,42.25,103,164.07,-,2,-,14,10
4,Shaheen Shah Afridi,PAK,2024-2024,4,3,3,36,23*,0.00,22,163.63,-,-,-,1,4
5,MA Leask,SCOT,2024-2024,4,2,-,40,35,20.00,25,160.00,-,-,-,0,4
6,PD Salt,ENG,2024-2024,8,7,2,188,87*,37.60,118,159.32,-,1,-,16,10
7,RA Jadeja,IND,2024-2024,8,5,2,35,17*,11.66,22,159.09,-,-,1,3,1
8,JC Buttler,ENG,2024-2024,8,7,2,214,83*,42.80,135,158.51,-,1,1,22,10
9,TM Head,AUS,2024-2024,7,7,1,255,76,42.50,161,158.38,-,2,1,26,15
10,HC Brook,ENG,2024-2024,8,4,2,145,53,72.50,92,157.60,-,1,-,16,2
11,RG Sharma,IND,2024-2024,8,8,1,257,92,36.71,164,156.70,-,3,-,24,15
12,Rishad Hossain,BAN,2024-2024,7,6,1,40,24,8.00,26,153.84,-,-,1,2,4
13,HH Pandya,IND,2024-2024,8,6,3,144,50*,48.00,95,151.57,-,1,-,11,9
14,AGS Gous,USA,2024-2024,6,6,1,219,80*,43.80,145,151.03,-,2,-,20,11
15,GJ Delany,IRE,2024-2024,3,3,-,60,31,20.00,40,150.00,-,-,-,3,5
16,MH Cross,SCOT,2024-2024,4,3,1,36,18,18.00,24,150.00,-,-,-,1,3
17,TH David,AUS,2024-2024,7,5,1,61,24*,15.25,41,148.78,-,-,-,5,3
18,SE Rutherford,WI,2024-2024,7,6,3,121,68*,40.33,82,147.56,-,1,1,5,9
19,LS Livingstone,ENG,2024-2024,8,4,-,72,33,18.00,49,146.93,-,-,-,3,5
20,N Pooran,WI,2024-2024,7,7,1,228,98,38.00,156,146.15,-,1,-,15,17
21,R Powell,WI,2024-2024,7,6,-,102,36,17.00,71,143.66,-,-,-,4,8
22,GJ Maxwell,AUS,2024-2024,7,6,1,132,59,26.40,93,141.93,-,1,1,12,7
23,Q de Kock,SA,2024-2024,9,9,-,243,74,27.00,173,140.46,-,2,1,21,13
24,NR Kirton,CAN,2024-2024,3,3,-,101,51,33.66,72,140.27,-,1,-,6,4
25,RD Berrington,SCOT,2024-2024,4,3,2,102,47*,102.00,73,139.72,-,-,-,4,5
26,AR Patel,IND,2024-2024,8,5,1,92,47,23.00,66,139.39,-,-,-,5,6
27,HG Munsey,SCOT,2024-2024,4,4,1,124,41*,41.33,89,139.32,-,-,-,8,9
28,MM Ali,ENG,2024-2024,8,5,-,71,25,14.20,51,139.21,-,-,-,2,5
29,KIC Asalanka,SL,2024-2024,3,3,-,71,46,23.66,51,139.21,-,-,-,1,6
30,DA Warner,AUS,2024-2024,7,7,1,178,56,29.66,128,139.06,-,2,-,17,9
31,Harmeet Singh,USA,2024-2024,6,4,-,69,38,17.25,50,138.00,-,-,1,4,5
32,SA Yadav,IND,2024-2024,8,8,1,199,53,28.42,147,135.37,-,2,-,15,10
33,Aaron Jones,USA,2024-2024,6,6,2,162,94*,40.50,120,135.00,-,1,1,8,14
34,MA Jones,SCOT,2024-2024,4,4,1,89,45*,29.66,66,134.84,-,-,-,8,5
35,JM Bairstow,ENG,2024-2024,8,6,2,110,48*,27.50,82,134.14,-,-,1,11,4
36,PS Athavale,OMA,2024-2024,3,3,-,59,54,19.66,44,134.09,-,1,1,6,2
37,P Nissanka,SL,2024-2024,3,3,-,50,47,16.66,38,131.57,-,-,1,7,1
38,RL Chase,WI,2024-2024,6,3,1,94,52,47.00,72,130.55,-,1,1,7,4
39,Mehran Khan,OMA,2024-2024,4,4,-,47,27,11.75,36,130.55,-,-,1,4,2
40,Shadab Khan,PAK,2024-2024,4,3,-,44,40,14.66,34,129.41,-,-,1,1,3
41,Towhid Hridoy,BAN,2024-2024,7,7,-,153,40,21.85,119,128.57,-,-,-,9,8
42,RR Pant,IND,2024-2024,8,8,1,171,42,24.42,134,127.61,-,-,1,19,6
43,D Wiese,NAM,2024-2024,4,4,1,51,27,17.00,40,127.50,-,-,-,2,4
44,H Klaasen,SA,2024-2024,9,8,2,190,52,31.66,150,126.66,-,1,-,9,13
45,BA King,WI,2024-2024,5,5,1,86,34,21.50,68,126.47,-,-,-,13,2
46,A Dutt,NED,2024-2024,2,2,1,25,15*,25.00,20,125.00,-,-,-,2,1
47,MJ Santner,NZ,2024-2024,4,2,1,25,21*,25.00,20,125.00,-,-,-,0,3
48,Rahmanullah Gurbaz,AFG,2024-2024,8,8,-,281,80,35.12,226,124.33,-,3,2,18,16
49,AD Mathews,SL,2024-2024,3,3,1,62,30*,31.00,50,124.00,-,-,-,2,4
50,Rashid Khan,AFG,2024-2024,8,7,2,57,19*,11.40,46,123.91,-,-,-,5,4
51,MD Patel,USA,2024-2024,2,2,-,66,50,33.00,54,122.22,-,1,-,9,1
52,A Johnson,CAN,2024-2024,3,3,-,89,52,29.66,73,121.91,-,1,-,12,4
53,Aqib Ilyas,OMA,2024-2024,4,4,-,42,18,10.50,35,120.00,-,-,1,5,2
54,DJ Mitchell,NZ,2024-2024,4,3,1,36,19*,18.00,30,120.00,-,-,-,5,0
55,Shakeel Ahmed,OMA,2024-2024,3,3,1,25,11,12.50,21,119.04,-,-,-,3,0
56,MR Marsh,AUS,2024-2024,7,7,1,125,37,20.83,107,116.82,-,-,-,13,5
57,NS Dhaliwal,CAN,2024-2024,3,3,-,71,61,23.66,61,116.39,-,1,-,8,3
58,S Movva,CAN,2024-2024,3,3,1,71,37,35.50,61,116.39,-,-,-,5,2
59,JB Little,IRE,2024-2024,3,2,1,36,22*,36.00,31,116.12,-,-,-,4,1
60,GH Dockrell,IRE,2024-2024,3,3,1,44,30*,22.00,38,115.78,-,-,-,4,1
61,MR Adair,IRE,2024-2024,3,3,-,52,34,17.33,45,115.55,-,-,-,5,1
62,NR Kumar,USA,2024-2024,6,5,1,99,30,24.75,86,115.11,-,-,-,6,4
63,S Dube,IND,2024-2024,8,8,2,133,34,22.16,116,114.65,-,-,1,6,7
64,J Charles,WI,2024-2024,6,6,-,140,44,23.33,123,113.82,-,-,2,18,3
65,GD Phillips,NZ,2024-2024,4,2,-,58,40,29.00,51,113.72,-,-,-,5,2
66,Karim Janat,AFG,2024-2024,7,5,2,43,14,14.33,38,113.15,-,-,-,2,2
67,V Kohli,IND,2024-2024,8,8,-,151,76,18.87,134,112.68,-,1,2,8,7
68,MS Wade,AUS,2024-2024,7,4,2,27,17*,13.50,24,112.50,-,-,-,3,0
69,BKG Mendis,SL,2024-2024,3,3,-,75,46,25.00,67,111.94,-,-,-,8,0
70,M Levitt,NED,2024-2024,4,4,-,50,31,12.50,45,111.11,-,-,1,4,4
71,SA Edwards,NED,2024-2024,4,4,-,71,31,17.75,64,110.93,-,-,-,5,2
72,Fakhar Zaman,PAK,2024-2024,4,4,-,33,13,8.25,30,110.00,-,-,-,1,2
73,MG Erasmus,NAM,2024-2024,4,4,1,102,52,34.00,93,109.67,-,1,-,10,3
74,Azmatullah Omarzai,AFG,2024-2024,8,8,-,111,26,13.87,102,108.82,-,-,-,7,4
75,DP Conway,NZ,2024-2024,4,4,1,70,35,23.33,65,107.69,-,-,-,7,3
76,Ibrahim Zadran,AFG,2024-2024,8,8,-,231,70,28.87,215,107.44,-,2,1,25,4
77,SC van Schalkwyk,USA,2024-2024,4,3,2,29,18,29.00,27,107.40,-,-,-,4,0
78,Shakib Al Hasan,BAN,2024-2024,7,7,1,111,64*,18.50,104,106.73,-,1,1,12,1
79,SA Engelbrecht,NED,2024-2024,4,4,-,98,40,24.50,92,106.52,-,-,-,6,3
80,DM de Silva,SL,2024-2024,2,2,-,55,34,27.50,52,105.76,-,-,-,4,1
81,M van Lingen,NAM,2024-2024,3,3,-,43,33,14.33,41,104.87,-,-,1,3,3
82,Gulbadin Naib,AFG,2024-2024,8,8,1,90,49*,12.85,86,104.65,-,-,2,9,3
83,KR Mayers,WI,2024-2024,1,1,-,35,35,35.00,34,102.94,-,-,-,3,2
84,DA Miller,SA,2024-2024,9,8,2,169,59*,28.16,165,102.42,-,1,1,10,8
85,Babar Azam,PAK,2024-2024,4,4,1,122,44,40.66,120,101.66,-,-,-,8,3
86,MP O'Dowd,NED,2024-2024,4,4,1,79,54*,26.33,78,101.28,-,1,-,7,2
87,T Stubbs,SA,2024-2024,9,8,3,165,33,33.00,163,101.22,-,-,1,13,3
88,AK Markram,SA,2024-2024,9,9,1,123,46,15.37,122,100.81,-,-,1,14,2
89,AK Sah,NEP,2024-2024,3,3,-,38,27,12.66,38,100.00,-,-,1,5,1
90,Iftikhar Ahmed,PAK,2024-2024,2,2,-,23,18,11.50,23,100.00,-,-,-,3,0
91,Ayaan Khan,OMA,2024-2024,4,4,1,93,41*,31.00,95,97.89,-,-,-,6,3
92,N Davin,NAM,2024-2024,4,4,-,64,24,16.00,66,96.96,-,-,-,7,2
93,M Jansen,SA,2024-2024,9,6,2,32,21*,8.00,33,96.96,-,-,1,1,1
94,Tanzid Hasan,BAN,2024-2024,7,7,-,76,35,10.85,79,96.20,-,-,3,11,1
95,LV van Beek,NED,2024-2024,4,3,-,25,23,8.33,26,96.15,-,-,1,3,0
96,Najmul Hossain Shanto,BAN,2024-2024,7,7,-,112,41,16.00,117,95.72,-,-,-,7,5
97,Najibullah Zadran,AFG,2024-2024,5,4,1,22,19,7.33,23,95.65,-,-,1,0,2
98,Vikramjit Singh,NED,2024-2024,4,4,-,67,26,16.75,71,94.36,-,-,-,5,3
99,Mahmudullah,BAN,2024-2024,7,7,1,95,25,15.83,101,94.05,-,-,-,8,3
